"district_number","district_name","year","federal_state","flag_new_name","flag_eligible_changed","flag_renumbered","district_type"
30,"Cuxhaven - Stade II",2009,3,TRUE,FALSE,FALSE,"new_name"
31,"Stade I - Rotenburg II",2009,3,TRUE,FALSE,FALSE,"new_name"
35,"Osterholz - Verden",2009,3,TRUE,FALSE,FALSE,"new_name"
36,"Rotenburg I - Soltau-Fallingbostel",2009,3,TRUE,FALSE,FALSE,"new_name"
37,"Harburg",2009,3,TRUE,FALSE,FALSE,"new_name"
38,"Lüchow-Dannenberg - Lüneburg",2009,3,FALSE,TRUE,TRUE,"eligible_changed|renumbered"
39,"Osnabrück-Land",2009,3,FALSE,FALSE,TRUE,"renumbered"
40,"Stadt Osnabrück",2009,3,FALSE,FALSE,TRUE,"renumbered"
41,"Nienburg II - Schaumburg",2009,3,FALSE,FALSE,TRUE,"renumbered"
42,"Stadt Hannover I",2009,3,FALSE,FALSE,TRUE,"renumbered"
43,"Stadt Hannover II",2009,3,FALSE,FALSE,TRUE,"renumbered"
44,"Hannover-Land I",2009,3,FALSE,FALSE,TRUE,"renumbered"
45,"Celle - Uelzen",2009,3,FALSE,FALSE,TRUE,"renumbered"
46,"Gifhorn - Peine",2009,3,FALSE,FALSE,TRUE,"renumbered"
47,"Hameln-Pyrmont - Holzminden",2009,3,FALSE,FALSE,TRUE,"renumbered"
48,"Hannover-Land II",2009,3,FALSE,FALSE,TRUE,"renumbered"
49,"Hildesheim",2009,3,FALSE,FALSE,TRUE,"renumbered"
50,"Salzgitter - Wolfenbüttel",2009,3,FALSE,FALSE,TRUE,"renumbered"
51,"Braunschweig",2009,3,FALSE,FALSE,TRUE,"renumbered"
52,"Helmstedt - Wolfsburg",2009,3,FALSE,FALSE,TRUE,"renumbered"
53,"Goslar - Northeim - Osterode",2009,3,FALSE,FALSE,TRUE,"renumbered"
54,"Göttingen",2009,3,FALSE,FALSE,TRUE,"renumbered"
55,"Bremen I",2009,4,FALSE,FALSE,TRUE,"renumbered"
56,"Bremen II - Bremerhaven",2009,4,FALSE,FALSE,TRUE,"renumbered"
57,"Prignitz - Ostprignitz-Ruppin - Havelland I",2009,12,FALSE,FALSE,TRUE,"renumbered"
58,"Uckermark - Barnim I",2009,12,FALSE,FALSE,TRUE,"renumbered"
59,"Oberhavel - Havelland II",2009,12,FALSE,FALSE,TRUE,"renumbered"
60,"Märkisch-Oderland - Barnim II",2009,12,FALSE,FALSE,TRUE,"renumbered"
61,"Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I",2009,12,FALSE,FALSE,TRUE,"renumbered"
62,"Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II",2009,12,FALSE,TRUE,TRUE,"eligible_changed|renumbered"
